title	instructor	description	url	price	tag	category	rating	thumbnail_url	is_package	is_free	enrollment_count	uploade_date
Backpropagation과 야코비안 행렬	Shin's Lab	딥러닝에서 가장 중요한 Backpropagation의 원리를 기초부터 심화까지 다루는 강의입니다.	https://edu.goorm.io/lecture/28020/backpropagation과-야코비안-행렬	39000	딥러닝-파이썬	프로그래밍-인공지능	0.0	https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_JCaUs_1624346372913/coverImage.png?_=1641455710998	False	False		
제대로 배우는 정혜경 C언어 입문	렉토피아	프로그래밍 언어 중에 가장 기본이 되는 언어, 프로그램 개발 입문자가 가장 처음 배우는 C언어!!	https://edu.goorm.io/lecture/29775/제대로-배우는-정혜경-c언어-입문	0	C	프로그래밍-프로그래밍기초	5.0	https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_fjobB_1639041932934/coverImage.png?_=1641201957156	False	True		
[EduAtoZ] Python Cos Pro 1급 공개문제 풀이	렉토피아	CosPro 1급 Python 시험 공개문제 풀이	https://edu.goorm.io/lecture/29705/eduatoz-python-cos-pro-1급-공개문제-풀이	0	알고리즘-파이썬	프로그래밍-프로그래밍기초	5.0	https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_zjIwt_1638891479475/coverImage.png?_=1640670605303	False	True		
HTML5 & CSS3 기초 문법 올인원	이룸코딩	도서 HTML5 독학백서 & CSS3 독학백서 저자 직강! 이론은 짧게 핵심만! 모던 HTML과 CSS에 입문하기 위해 꼭 알아야 하는 핵심 문법 엑기스만 정리했습니다.	https://edu.goorm.io/lecture/28488/html5-css3-기초-문법-올인원	0	CSS-HTML	웹프로그래밍-프로그래밍	5.0	https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_aaVXk_1628476577180/coverImage.png?_=1629252998294	False	True		
컴퓨터 GUI 앱을 만들면서 tkinter 배우기	행보칸코딩	Python의 Tkinter로 이미지 확장자 변환 컴퓨터 앱을 만들면서 Tkinter를 배우는 강좌입니다.	https://edu.goorm.io/lecture/28428/컴퓨터-gui-앱을-만들면서-tkinter-배우기	0	파이썬	프로그래밍-프로그래밍기초	5.0	https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_kNrez_1627545462540/coverImage.png?_=1629252369246	False	True		
[하루10분|Web-App] 생애최초 웹프레임워크 Ruby on Rails	판다코딩	웹 프레임워크의 개념, MVC 디자인 패턴에 대하여 학습합니다. 이후 Ruby 언어 기반 웹 프레임워크인 Ruby on Rails를 통하여 CRUD 서비스를 구현합니다.	https://edu.goorm.io/lecture/28494/하루10분-web-app-생애최초-웹프레임워크-ruby-on-rails	0	레일즈-루비	웹프로그래밍-프로그래밍	4.9	https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_eoHih_1628571768734/coverImage.png?_=1629252559685	False	True		
실전!웹사이트제작 Step By Step! (Basic 강좌 : 쌩초보 코스)	J.young	나만의 웹사이트, 직접 만들어보세요!	https://edu.goorm.io/lecture/28099/실전-웹사이트제작-step-by-step-basic-강좌-쌩초보-코스	10000	자바스크립트-CSS-HTML	프로그래밍-프로그래밍기초	0.0	https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_OlcBD_1625470387661/coverImage.png?_=1667376749291	False	False		
실전!웹사이트제작 Step By Step! (클론코딩 : 포메인사이트제작 - 풀페이지)	J.young	‘포메인(PhoMein)’ 메인 페이지 만들기	https://edu.goorm.io/lecture/28100/실전-웹사이트제작-step-by-step-클론코딩-포메인사이트제작-풀페이지	28000	자바스크립트-CSS-HTML-jQuery	웹프로그래밍-프로그래밍	4.5	https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_mukZj_1625471351808/coverImage.png?_=1667376763005	False	False		
실전!웹사이트제작 Step By Step! (클론코딩 : crew a la Mode 사이트제작 - 반응형웹)	J.young	‘크루알라모드’ 메인 페이지 만들기	https://edu.goorm.io/lecture/28057/실전-웹사이트제작-step-by-step-클론코딩-crew-a-la-mode-사이트제작-반응형웹	28000	자바스크립트-CSS-HTML-jQuery	웹프로그래밍-프로그래밍	5.0	https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_DjNJd_1624882686496/coverImage.png?_=1667376735042	False	False		
퇴근후 텐서플로: Basic	퇴근후딴짓	텐서플로(tensorflow) 입문강의 입니다.	https://edu.goorm.io/lecture/28058/퇴근후-텐서플로-basic	0	데이터분석-딥러닝-머신러닝-인공지능-텐서플로우-파이썬	프로그래밍-인공지능	4.8	https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_lOaUB_1624900658373/coverImage.png?_=1625709307309	False	True		
