site,title,instructor,description,url,price,tags,rating,thumbnail_url,is_package,is_free,enrollment_count
인프런,스프링 시큐리티 OAuth2 - Spring Boot 기반으로 개발하는 Spring Security OAuth2,정수원,,https://www.inflearn.com/course/%EC%A0%95%EC%88%98%EC%9B%90-%EC%8A%A4%ED%94%84%EB%A7%81-%EC%8B%9C%ED%81%90%EB%A6%AC%ED%8B%B0,110000,"백엔드,웹 개발,보안,java,spring,spring boot,oauth,중급이상,인프런",5.0,https://cdn.inflearn.com/public/courses/329356/cover/5ac638b8-8310-48d2-9dbc-4776121834ef/329356-eng.png,False,False,0.0
인프런,Jenkins를 이용한 CI/CD Pipeline 구축,Dowon Lee,,https://www.inflearn.com/course/%EC%A0%A0%ED%82%A8%EC%8A%A4-ci-cd-%ED%8C%8C%EC%9D%B4%ED%94%84%EB%9D%BC%EC%9D%B8,80000,"데브옵스,인프라,백엔드,클라우드,jenkins,ci/cd,ansible,kubernetes,sonarqube,초급,인프런",4.652173913043479,https://cdn.inflearn.com/public/courses/329275/cover/5173e069-8ce9-45e8-905a-f0f5f345899c/329275-b-eng.png,False,False,0.0
인프런,스프링 DB 2편 - 데이터 접근 활용 기술,김영한,,https://www.inflearn.com/course/%EC%8A%A4%ED%94%84%EB%A7%81-db-2,90000,"백엔드,웹 개발,spring,초급,인프런",4.9868421052631575,https://cdn.inflearn.com/public/courses/328990/cover/9a948ec2-300a-48f8-98ce-3b71863d03c0/328990-eng.png,False,False,0.0
인프런,핸즈온 리액트 네이티브,김범준,,https://www.inflearn.com/course/%ED%95%B8%EC%A6%88%EC%98%A8-%EB%A6%AC%EC%95%A1%ED%8A%B8-%EB%84%A4%EC%9D%B4%ED%8B%B0%EB%B8%8C,70000,"모바일 앱 개발,react native,초급,인프런",5.0,https://cdn.inflearn.com/public/courses/328924/cover/c659807d-764a-4d14-bbf0-fc1fa0fb8e77/328924-eng.png,False,False,0.0
인프런,데이터 분석 SQL Fundamentals,권 철민,,https://www.inflearn.com/course/%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D-sql-%ED%8E%80%EB%8D%94%EB%A9%98%ED%83%88,50000,"데이터 분석,데이터 사이언스,데이터베이스,sql,postgresql,dbms/rdbms,초급,인프런",4.918032786885246,https://cdn.inflearn.com/public/courses/328644/cover/4afb5f07-cd68-453b-9641-efdb42628d2b/328644-eng.png,False,False,0.0
인프런,"[코드팩토리] [중급] Flutter 진짜 실전! 상태관리, 캐시관리, Code Generation, GoRouter, 인증로직 등 중수가 되기 위한 필수 스킬들!",코드팩토리,,https://www.inflearn.com/course/%ED%94%8C%EB%9F%AC%ED%84%B0-%EC%8B%A4%EC%A0%84,120000,"모바일 앱 개발,flutter,하이브리드 앱,중급이상,인프런",4.9324324324324325,https://cdn.inflearn.com/public/courses/328615/cover/4abab928-4fd1-442b-b422-3968f9cc393e/thumbnail.png,False,False,0.0
인프런,모든 개발자의 실무를 위한 올인원 기본기 클래스,그랩,,https://www.inflearn.com/course/%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%8B%A4%EB%AC%B4-%EA%B8%B0%EB%B3%B8%EA%B8%B0,150000,"프론트엔드,백엔드,교양,기타,객체지향,소프트웨어 테스트,아키텍처,git,python,tdd,동시성,docker,ci/cd,초급,인프런",4.764705882352941,https://cdn.inflearn.com/public/courses/327997/cover/6d8192c6-8a28-40c3-b8df-ef5bff5cb9ac/327997-eng.png,False,False,0.0
인프런,스프링 핵심 원리 - 고급편,김영한,,https://www.inflearn.com/course/%EC%8A%A4%ED%94%84%EB%A7%81-%ED%95%B5%EC%8B%AC-%EC%9B%90%EB%A6%AC-%EA%B3%A0%EA%B8%89%ED%8E%B8,110000,"백엔드,웹 개발,spring,디자인 패턴,중급이상,인프런",4.976635514018692,https://cdn.inflearn.com/public/courses/327901/cover/d0f80fce-6877-4058-91bb-dc1ef57339a2/327901-eng.png,False,False,0.0
인프런,스프링 MVC 2편 - 백엔드 웹 개발 활용 기술,김영한,,https://www.inflearn.com/course/%EC%8A%A4%ED%94%84%EB%A7%81-mvc-2,110000,"백엔드,웹 개발,mvc,spring,초급,인프런",4.977029096477795,https://cdn.inflearn.com/public/courses/327260/cover/a51a5154-c375-4210-9fb1-0b716fd4ac73/327260-eng.png,False,False,0.0
인프런,따라하면서 배우는 고박사의 유니티 하이퍼캐주얼게임 시리즈 01,고박사,,https://www.inflearn.com/course/%EA%B3%A0%EB%B0%95%EC%82%AC-%ED%95%98%EC%9D%B4%ED%8D%BC%EC%BA%90%EC%A5%AC%EC%96%BC-1,40000,"게임 프로그래밍,게임 개발,c#,unity,초급,인프런",4.903225806451613,https://cdn.inflearn.com/public/courses/326918/cover/da66a3b6-b156-4724-a563-350bbc4f37c9/326918-eng.png,False,False,0.0
인프런,만들고 비교하며 학습하는 리액트 (React),김정환,,https://www.inflearn.com/course/%EB%A7%8C%EB%93%A4%EB%A9%B4%EC%84%9C-%ED%95%99%EC%8A%B5%ED%95%98%EB%8A%94-%EB%A6%AC%EC%95%A1%ED%8A%B8,50000,"프론트엔드,웹 개발,react,mvc,초급,인프런",4.789473684210527,https://cdn.inflearn.com/public/courses/326905/cover/739f7b4b-1a9f-478f-a6a8-1a13bf58cae3/326905-eng.png,False,False,0.0
인프런,자바(Java) 알고리즘 문제풀이 입문: 코딩테스트 대비,김태원,,https://www.inflearn.com/course/%EC%9E%90%EB%B0%94-%EC%95%8C%EA%B3%A0%EB%A6%AC%EC%A6%98-%EB%AC%B8%EC%A0%9C%ED%92%80%EC%9D%B4-%EC%BD%94%ED%85%8C%EB%8C%80%EB%B9%84,70000,"알고리즘,자료구조,프로그래밍 언어,java,코딩 테스트,입문,인프런",4.865979381443299,https://cdn.inflearn.com/public/courses/326750/cover/d7815167-2a01-42c1-aacf-bbd32a3705bc/326750-eng.png,False,False,0.0
인프런,고수가 되는 파이썬 : 동시성과 병렬성 문법 배우기 Feat. 멀티스레딩 vs 멀티프로세싱 (Inflearn Original),인프런,,https://www.inflearn.com/course/%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D-%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EC%99%84%EC%84%B1-%EC%9D%B8%ED%94%84%EB%9F%B0-%EC%98%A4%EB%A6%AC%EC%A7%80%EB%84%90,55000,"프로그래밍 언어,python,동시성,중급이상,인프런",4.7,https://cdn.inflearn.com/public/courses/326329/cover/5b3f2fcc-70a6-48cf-b5d8-4efe68c4c455,False,False,0.0
인프런,초보를 위한 쿠버네티스 안내서,subicura,,https://www.inflearn.com/course/%EC%BF%A0%EB%B2%84%EB%84%A4%ED%8B%B0%EC%8A%A4-%EC%9E%85%EB%AC%B8,45000,"데브옵스,인프라,백엔드,kubernetes,docker,초급,인프런",4.89261744966443,https://cdn.inflearn.com/public/course-326288-cover/9bd53e0c-48e2-449d-969a-277335c0df77,False,False,0.0
